frame,timestamp,ear_right_top_x,ear_right_top_y,ear_right_top_likelihood,ear_right_inner_x,ear_right_inner_y,ear_right_inner_likelihood,ear_right_base_x,ear_right_base_y,ear_right_base_likelihood,ear_left_top_x,ear_left_top_y,ear_left_top_likelihood,ear_left_inner_x,ear_left_inner_y,ear_left_inner_likelihood,ear_left_base_x,ear_left_base_y,ear_left_base_likelihood,forehead_left_x,forehead_left_y,forehead_left_likelihood,forehead_center_x,forehead_center_y,forehead_center_likelihood,forehead_right_x,forehead_right_y,forehead_right_likelihood,glabella_x,glabella_y,glabella_likelihood,eye_right_top_x,eye_right_top_y,eye_right_top_likelihood,eye_right_inner_x,eye_right_inner_y,eye_right_inner_likelihood,eye_right_bottom_x,eye_right_bottom_y,eye_right_bottom_likelihood,eye_right_outer_x,eye_right_outer_y,eye_right_outer_likelihood,eye_right_center_x,eye_right_center_y,eye_right_center_likelihood,eye_right_lower_x,eye_right_lower_y,eye_right_lower_likelihood,eye_right_upper_x,eye_right_upper_y,eye_right_upper_likelihood,eye_right_outerlower_x,eye_right_outerlower_y,eye_right_outerlower_likelihood,eye_left_top_x,eye_left_top_y,eye_left_top_likelihood,eye_left_inner_x,eye_left_inner_y,eye_left_inner_likelihood,eye_left_bottom_x,eye_left_bottom_y,eye_left_bottom_likelihood,eye_left_outer_x,eye_left_outer_y,eye_left_outer_likelihood,eye_left_center_x,eye_left_center_y,eye_left_center_likelihood,eye_left_lower_x,eye_left_lower_y,eye_left_lower_likelihood,eye_left_upper_x,eye_left_upper_y,eye_left_upper_likelihood,eye_left_outerlower_x,eye_left_outerlower_y,eye_left_outerlower_likelihood,nose_bridge_x,nose_bridge_y,nose_bridge_likelihood,nose_tip_x,nose_tip_y,nose_tip_likelihood,nose_left_x,nose_left_y,nose_left_likelihood,nose_right_x,nose_right_y,nose_right_likelihood,philtrum_x,philtrum_y,philtrum_likelihood,mouth_outer_left_x,mouth_outer_left_y,mouth_outer_left_likelihood,mouth_outer_right_x,mouth_outer_right_y,mouth_outer_right_likelihood,mouth_outer_upper_x,mouth_outer_upper_y,mouth_outer_upper_likelihood,mouth_outer_lower_x,mouth_outer_lower_y,mouth_outer_lower_likelihood,mouth_inner_left_x,mouth_inner_left_y,mouth_inner_left_likelihood,mouth_inner_right_x,mouth_inner_right_y,mouth_inner_right_likelihood,mouth_inner_upper_x,mouth_inner_upper_y,mouth_inner_upper_likelihood,mouth_inner_lower_x,mouth_inner_lower_y,mouth_inner_lower_likelihood,chin_tip_x,chin_tip_y,chin_tip_likelihood,cheek_right_upper_x,cheek_right_upper_y,cheek_right_upper_likelihood,cheek_right_lower_x,cheek_right_lower_y,cheek_right_lower_likelihood,cheek_left_upper_x,cheek_left_upper_y,cheek_left_upper_likelihood,cheek_left_lower_x,cheek_left_lower_y,cheek_left_lower_likelihood,contour_right1_x,contour_right1_y,contour_right1_likelihood,contour_right2_x,contour_right2_y,contour_right2_likelihood,contour_right3_x,contour_right3_y,contour_right3_likelihood,contour_left1_x,contour_left1_y,contour_left1_likelihood,contour_left2_x,contour_left2_y,contour_left2_likelihood,contour_left3_x,contour_left3_y,contour_left3_likelihood,ribbon_center_x,ribbon_center_y,ribbon_center_likelihood,ribbon_right_top_x,ribbon_right_top_y,ribbon_right_top_likelihood,ribbon_right_bottom_x,ribbon_right_bottom_y,ribbon_right_bottom_likelihood,ribbon_left_top_x,ribbon_left_top_y,ribbon_left_top_likelihood,ribbon_left_bottom_x,ribbon_left_bottom_y,ribbon_left_bottom_likelihood,head_top_x,head_top_y,head_top_likelihood
0,0.000000,395.145723,514.936344,0.602763,392.315892,305.031456,0.645894,315.062792,642.076561,0.963663,276.077894,570.042027,0.528895,408.992084,666.429580,0.071036,62.733096,14.557246,0.832620,560.272861,626.408747,0.978618,575.394166,332.265141,0.780529,85.157587,460.743135,0.143353,680.161620,375.730792,0.414662,190.480041,557.448256,0.456150,409.272443,13.528656,0.617635,440.708920,444.192478,0.943748,490.910615,258.845688,0.437032,502.294461,43.362340,0.666767,482.859266,151.475444,0.128926,227.108413,261.871755,0.570197,315.793090,711.629163,0.102045,150.391264,116.142853,0.653108,182.369954,335.743756,0.244426,114.458100,79.470102,0.656330,99.491725,141.539300,0.368725,591.115125,69.912919,0.837945,69.190854,703.050815,0.468651,703.267983,435.488774,0.739264,28.215210,203.621013,0.120197,213.220942,85.483958,0.317983,298.269356,46.186197,0.692472,407.953047,191.080433,0.523248,67.637168,414.681477,0.929296,229.369646,480.535474,0.131798,515.755587,208.372387,0.183191,422.289313,14.477433,0.828940,3.380743,488.027906,0.270008,529.339696,692.775752,0.248753,414.833281,426.270191,0.572252,160.618776,685.979288,0.447125,609.414244,503.625078,0.297437,585.934430,285.484133,0.881103,418.516468,634.849461,0.692532,522.183081,360.953555,0.956084,463.672943,305.175635,0.606393,13.819103,217.133868,0.660174,208.855877,444.971109,0.428769,97.541326,214.763275,0.569965,425.428388,413.514179,0.653201,469.514354,310.621274,0.896547,264.644546,313.822746,0.891923,580.459672,506.799780,0.100227,662.027482,514.253736,0.998847,107.602779,625.050761,0.162493,443.202886,89.150388,0.848008,581.269650,409.752532,0.407183,49.800237,502.148717,0.453543,519.880032,623.795275,0.975522,616.178407,8.434141,0.359978
1,0.040000,525.593205,123.573368,0.521037,39.123352,143.997498,0.018522,571.462346,161.225775,0.345352,668.218531,507.178369,0.031839,118.579793,447.464449,0.577229,171.282831,672.634079,0.613966,385.655618,424.735183,0.730122,224.600397,286.719165,0.209844,134.058964,679.948121,0.739551,353.130342,163.738532,0.254356,41.780995,312.779970,0.311796,501.367312,271.981324,0.179604,17.768684,48.419735,0.679393,326.661728,386.337032,0.896671,713.044042,156.165829,0.663078,189.592111,14.868720,0.758379,230.412349,276.094004,0.588317,598.354888,452.866927,0.872651,196.950265,574.593720,0.185636,686.009993,494.991559,0.215508,682.106825,526.216181,0.253942,153.584624,373.104514,0.025663,149.378454,305.773538,0.374170,333.774306,199.892669,0.586784,621.976036,84.622936,0.517379,95.089037,516.138970,0.396060,407.103345,131.961482,0.144848,351.400522,256.041171,0.940432,551.034183,539.037806,0.903720,60.064154,397.578578,0.584476,692.594193,210.346219,0.240829,72.211638,11.829333,0.929529,482.339914,565.310097,0.281730,422.215320,46.047792,0.485628,703.796501,631.083777,0.338159,692.330511,166.825171,0.949319,677.791947,575.425863,0.630448,629.487336,210.974605,0.848944,444.871218,9.530538,0.347234,106.661420,706.917161,0.478370,358.121783,460.420212,0.368585,98.568196,591.924768,0.189848,368.149667,161.508261,0.097844,620.777893,700.502032,0.960835,652.719959,557.314080,0.333145,58.393001,293.213643,0.232234,95.391097,38.467571,0.725594,8.227770,554.818139,0.146947,57.255899,64.514185,0.672048,176.664391,302.788416,0.557369,619.596845,523.471869,0.270328,94.667615,39.869511,0.301599,188.725067,328.421208,0.683281,500.850321,204.133570,0.379927,130.428692,567.752769,0.056848,501.838014,560.660685,0.777408
2,0.080000,186.784246,269.145459,0.587600,196.431770,267.014015,0.197054,331.096236,32.120857,0.799796,55.408642,373.561307,0.306810,415.830923,690.792005,0.645570,25.460954,309.889756,0.510017,386.047796,490.602608,0.277596,92.779607,282.726487,0.956406,134.734242,650.868448,0.543806,328.976224,635.069815,0.458604,521.400698,287.298232,0.904044,496.818015,503.727879,0.327720,544.880623,457.963960,0.240020,115.587952,573.401862,0.959167,329.859956,425.508599,0.857723,329.200886,685.349623,0.575751,590.952327,654.367477,0.815524,114.778414,452.806876,0.398434,45.153325,305.303221,0.258684,611.307582,23.979331,0.958983,255.865571,256.828961,0.016329,133.367274,288.906841,0.929291,71.722750,680.617104,0.869489,326.996926,235.224635,0.232744,442.414589,23.813706,0.015606,308.732920,49.013333,0.251941,159.235859,182.297659,0.131055,8.666080,83.148694,0.618480,701.464473,713.048401,0.409054,117.327187,459.908465,0.490305,712.375040,47.019029,0.783234,207.646918,173.821406,0.662505,177.165493,479.418565,0.517309,305.344072,399.375222,0.287052,508.733789,298.696946,0.360546,596.632978,665.976177,0.046007,167.491435,250.933946,0.814966,709.553828,697.659627,0.904948,213.520511,714.248095,0.249420,76.252432,684.685880,0.233420,496.633151,42.016578,0.730709,634.838553,196.154565,0.379057,269.493252,539.127545,0.237807,123.734231,323.489987,0.304468,604.216168,171.174115,0.502389,678.660192,456.478342,0.867289,676.950976,540.550701,0.699575,696.935208,715.968569,0.451822,51.026240,210.811703,0.152355,300.590190,94.528317,0.604118,275.621803,644.677837,0.967795,393.757129,197.872970,0.592230,645.668034,292.848009,0.552078,195.589993,327.919788,0.401714,178.857695,364.223796,0.310381,268.585102,377.978718,0.750595
3,0.120000,240.125375,665.394312,0.862319,35.057013,182.622617,0.446136,75.332080,250.902712,0.740098,489.970426,448.116789,0.710528,147.545055,246.022643,0.676242,633.049029,391.448199,0.282700,21.769386,511.442517,0.007884,268.328930,381.986794,0.922111,64.436072,292.278472,0.024313,246.679909,448.006362,0.279068,151.019964,83.306328,0.577140,500.594404,483.809141,0.948861,1.946314,465.981591,0.600392,423.892519,693.194630,0.016872,501.467350,585.848628,0.509807,240.454706,569.404918,0.097243,318.265659,374.365710,0.693956,65.437727,163.986841,0.410302,448.772165,638.611762,0.618826,96.092259,706.017696,0.871786,361.958948,664.090547,0.541381,664.780369,597.526105,0.968286,662.243624,25.944349,0.174772,280.176968,685.542742,0.300029,115.536704,638.139360,0.446394,653.670428,115.365936,0.661118,316.989902,55.070474,0.696463,178.127104,28.523176,0.059944,43.976547,653.567729,0.739884,646.604897,484.259264,0.528940,219.201382,718.532821,0.362189,338.867243,272.336526,0.979527,125.754037,236.151361,0.680349,45.509485,437.219549,0.477647,204.479983,171.657562,0.514513,264.907858,328.694322,0.337477,698.755459,96.076391,0.096804,247.242045,425.539369,0.659176,286.024858,719.480156,0.351893,519.412801,459.059540,0.813054,702.882478,640.651433,0.764562,502.738904,241.558682,0.147686,45.097922,174.169227,0.432281,375.837317,556.620159,0.958741,84.470746,77.042981,0.589695,536.686613,610.668274,0.935832,708.066894,287.857218,0.380335,106.422247,493.152796,0.656762,620.685069,70.025756,0.497777,418.378989,173.921069,0.169025,618.898202,42.145144,0.470621,83.400481,329.082308,0.979962,305.068574,617.129941,0.117316,195.301495,290.730773,0.399812,483.396105,248.197052,0.713767,460.214567,287.396025,0.431760
4,0.160000,442.459944,50.430377,0.822407,470.463236,522.966574,0.536923,79.543520,291.625642,0.405374,231.150953,21.564234,0.737254,79.044810,436.541856,0.703217,457.046153,690.582421,0.103298,624.360355,21.016969,0.534917,291.055405,377.412379,0.365100,137.208179,13.768486,0.518150,606.799341,268.715488,0.222864,57.983042,61.423865,0.221396,72.010124,190.828583,0.066149,47.235504,616.518849,0.162120,402.971332,556.887992,0.456410,110.425592,143.709222,0.432984,380.328544,251.597010,0.781480,540.735587,667.592501,0.028953,644.897730,282.649528,0.878372,497.365039,710.891105,0.759282,262.472131,360.765484,0.376389,262.736522,187.851240,0.495970,490.852760,199.684995,0.524380,84.513812,115.088607,0.046806,698.926639,2.779453,0.178580,441.264062,58.586111,0.881897,518.126514,695.800779,0.507636,216.290652,395.640412,0.930819,374.948235,192.389063,0.877399,267.781499,0.996012,0.247685,229.128127,618.319777,0.458503,320.102847,241.993632,0.880678,680.419279,714.161037,0.376741,695.626161,570.153290,0.675689,176.320425,155.849228,0.166048,664.384759,211.735197,0.453094,355.649640,560.283549,0.844235,100.132345,307.371139,0.842855,588.983980,73.737906,0.156383,219.023058,54.258530,0.424663,77.484748,409.116667,0.246557,429.431807,84.618463,0.975884,671.444067,282.093796,0.242179,180.286713,348.043345,0.039993,460.587676,293.978094,0.377407,582.742779,510.505531,0.954334,253.394093,646.230791,0.769967,257.345749,447.599114,0.288570,629.567940,80.947668,0.212434,131.783970,290.178722,0.745233,379.373363,351.126953,0.000546,306.289242,45.758718,0.208253,671.323636,155.086707,0.858338,578.083228,114.585291,0.605712,83.276548,524.079474,0.637462,584.595764,345.156876,0.914863,35.531242,210.879767,0.715053
5,0.200000,301.038632,124.524975,0.107211,588.484160,340.662944,0.882284,527.968177,295.002868,0.373511,371.259610,640.123166,0.737279,3.710134,499.793653,0.919507,511.528147,127.444163,0.483518,101.027533,258.476600,0.937117,664.779821,203.642534,0.339631,432.153265,693.502053,0.147801,184.979983,628.960916,0.491892,647.251986,133.572886,0.532669,234.914136,227.910643,0.446877,311.815763,257.289753,0.914971,526.855814,523.833834,0.289913,415.950786,561.009192,0.795590,248.061932,555.028385,0.735894,101.884670,623.480737,0.441321,350.215523,322.825809,0.567846,447.241858,358.689287,0.866789,451.969024,289.028123,0.416692,583.803803,250.698199,0.211455,42.755895,630.739331,0.918546,86.486531,240.821094,0.175372,83.446898,647.904055,0.056877,705.949678,69.444620,0.863471,407.884397,264.900591,0.342342,545.302183,226.492772,0.657319,372.474780,349.175265,0.901162,399.344442,595.340354,0.725574,27.761217,556.639238,0.216870,650.267746,30.905417,0.333072,71.807722,342.424164,0.820022,214.694899,108.673126,0.330267,585.993702,101.076450,0.227362,49.573414,508.111232,0.395233,223.804784,517.411001,0.335978,523.995317,586.943565,0.217663,701.149462,116.897722,0.290841,129.452609,248.764073,0.480061,375.966626,614.596350,0.889448,158.474780,448.483703,0.111496,330.458299,232.080147,0.316501,347.460654,525.475898,0.069183,633.004803,529.065918,0.176499,676.195855,364.544801,0.999809,142.026821,385.133903,0.290248,219.004961,425.567074,0.921719,579.789976,521.237807,0.559174,664.054923,354.500213,0.873832,600.466784,153.961450,0.771225,8.763233,232.437267,0.229567,364.941330,530.534276,0.097676,370.743985,675.656656,0.228647,487.541624,426.873795,0.010064,342.594861,510.314681,0.043975,633.255468,374.458620,0.030661
6,0.240000,161.577801,686.646501,0.582320,77.380249,207.032042,0.456704,15.084050,296.363170,0.489459,175.448070,423.820080,0.753240,169.800641,446.759928,0.639622,682.949017,560.358840,0.848345,353.102334,133.450983,0.995815,93.136148,339.449270,0.068093,679.572617,694.745957,0.719389,251.994847,183.155329,0.265303,91.651698,378.582446,0.141817,228.046080,451.228663,0.727544,17.476347,309.683509,0.652125,614.337103,342.233843,0.969206,191.255434,9.726269,0.483753,184.401932,593.076724,0.232773,223.653037,569.683750,0.715143,401.796890,507.562605,0.418637,3.823234,8.175693,0.511222,59.969505,36.774346,0.965517,618.481901,109.459604,0.000664,678.000813,200.394215,0.185898,497.885838,78.410692,0.264650,702.068170,460.413198,0.520678,286.501403,557.640688,0.140957,696.483217,620.008566,0.617657,30.892457,504.616068,0.913284,377.695489,255.041872,0.120277,543.528795,637.215733,0.100252,546.468879,12.283550,0.967055,442.841775,397.756122,0.295950,669.090004,191.452052,0.828147,709.278249,564.045585,0.518990,47.573470,340.137928,0.438256,146.013150,304.983098,0.357758,117.852668,317.789383,0.262800,375.884943,25.315243,0.906231,587.782300,397.858559,0.851809,692.924453,79.576052,0.630832,718.555681,711.280202,0.603323,92.175027,419.898838,0.002065,143.216161,688.408675,0.330441,459.640876,202.218836,0.947822,524.562286,237.348833,0.791761,77.879178,282.469637,0.221218,492.283042,73.761323,0.397026,199.187806,364.566902,0.349898,508.615616,17.695458,0.633987,166.011329,193.470501,0.800256,688.009244,227.916151,0.826805,74.873403,456.466790,0.751032,112.304108,306.721719,0.892707,74.576494,13.029378,0.590585,313.582709,575.056259,0.923456,215.390624,279.650964,0.486272,423.469052,708.374757,0.697330
7,0.280000,280.474925,189.912734,0.944626,97.594872,518.591414,0.925395,478.559222,304.599197,0.198991,264.582232,508.947703,0.649534,668.142840,624.139858,0.816151,656.244630,198.962750,0.369524,273.523611,403.524424,0.668218,206.436012,14.012976,0.399222,222.140131,678.372998,0.888265,619.423688,470.159828,0.344289,395.171473,586.962029,0.098610,576.773914,29.649450,0.816421,581.445939,36.725262,0.627161,361.766214,122.270042,0.148379,556.746571,408.738779,0.982999,707.218400,714.720235,0.118616,675.544419,176.090118,0.458212,545.332720,146.607071,0.566312,133.788059,75.409997,0.116559,257.500105,3.351483,0.424854,478.221916,289.215493,0.085795,45.135981,200.243889,0.169313,694.868381,108.885762,0.805462,421.997718,409.886582,0.512081,699.669415,261.968238,0.787916,399.811757,284.856241,0.955466,430.787498,85.620198,0.417539,562.738844,499.497857,0.916340,186.751717,545.899476,0.459875,412.999018,687.633610,0.979286,620.345494,258.549903,0.887701,459.798608,309.597682,0.035743,554.492249,361.516018,0.786188,538.576416,571.368505,0.300651,576.574991,395.169356,0.473326,486.090658,15.378252,0.102317,210.367703,707.752879,0.139746,238.029337,36.758207,0.331269,230.634926,681.701163,0.845154,275.590238,17.833722,0.831031,475.586048,109.702428,0.996071,72.168075,624.322470,0.294266,313.454496,572.728699,0.677508,675.262350,447.221034,0.097810,636.739462,553.791978,0.711870,38.688154,285.280376,0.167436,591.770814,504.380608,0.883078,695.934077,557.818282,0.994233,442.634318,26.733315,0.014252,246.314790,592.899638,0.866135,691.785021,46.887457,0.044571,657.564189,219.633623,0.557987,707.360316,288.322945,0.665871,288.633286,553.100158,0.527715,171.016659,195.340393,0.258059,383.270636,506.296092,0.949280
8,0.320000,499.742910,562.458848,0.168926,269.325090,297.921758,0.686380,213.042223,218.370183,0.355889,583.417499,415.864865,0.075277,56.337192,267.326600,0.766591,495.852067,509.747295,0.767210,206.749953,394.744523,0.543353,532.535401,688.946810,0.277990,571.162804,475.178795,0.580238,557.913441,679.703376,0.036691,106.128074,544.526807,0.083791,371.609065,158.299759,0.274296,505.325148,21.738797,0.873319,320.024848,361.723172,0.540048,464.791892,248.296742,0.101107,229.232834,121.062325,0.556133,228.980614,689.808368,0.965734,446.490634,444.598033,0.985379,638.843869,550.850363,0.313591,263.188100,144.912071,0.487148,713.065336,656.748686,0.118349,18.137008,647.019121,0.537170,144.136720,485.030354,0.644223,87.901637,186.912168,0.060078,151.099541,95.260086,0.193236,493.536345,35.639816,0.101855,96.605019,227.909607,0.298750,183.645925,540.386390,0.998023,384.464105,679.825957,0.396610,76.811362,294.317157,0.296128,355.253013,473.071447,0.461050,673.315569,637.030672,0.701978,352.573137,94.814843,0.397014,507.169108,205.117575,0.103988,653.686889,510.516583,0.615276,570.599212,601.665147,0.483459,634.455541,659.821688,0.271551,437.432659,379.140501,0.537946,675.117428,219.735866,0.983434,649.534475,330.280480,0.817453,553.713836,488.084378,0.319834,141.444714,483.499942,0.842973,11.702008,462.818430,0.442873,646.623184,231.460510,0.474185,370.632315,101.116455,0.712892,597.942968,41.694679,0.291389,27.392171,688.711755,0.667169,694.224302,382.675880,0.802069,269.578068,254.749703,0.378268,473.660736,258.806269,0.900367,707.957903,21.907091,0.193623,80.819995,30.502114,0.227741,321.691191,602.633063,0.221824,355.640584,669.325492,0.667215,574.616894,396.715659,0.980466,423.836751,32.767714,0.197983
9,0.360000,291.437013,432.919564,0.771931,297.422011,511.241980,0.789870,228.427342,705.074573,0.649656,634.318604,400.275136,0.741603,554.791724,653.938833,0.150350,401.964065,308.432529,0.923159,75.668180,707.453200,0.875451,53.154923,353.495798,0.717560,531.469113,652.675770,0.799865,223.869874,358.873046,0.701786,99.674526,139.673374,0.481042,214.736975,621.042660,0.586277,251.038942,611.159778,0.804878,718.815512,610.061536,0.414457,91.799195,605.261454,0.059758,252.195269,662.211346,0.960766,461.206507,495.826788,0.042454,370.425846,393.745089,0.340101,49.389721,164.813472,0.357984,313.302230,425.467242,0.722392,228.694949,236.846707,0.019692,29.429899,185.631620,0.740245,452.385958,554.248095,0.768919,616.728577,518.629872,0.979011,647.154158,422.436360,0.588158,24.672269,718.939136,0.131576,533.049982,591.130940,0.373055,141.733479,71.107118,0.748606,325.910541,513.876786,0.915408,105.540290,661.803121,0.411626,219.792247,679.004828,0.990652,143.202397,472.923610,0.106495,468.658083,595.665524,0.684499,300.479862,275.807779,0.393122,424.592509,634.728434,0.929066,38.541327,130.768124,0.112224,139.200941,249.557624,0.506532,453.212083,527.142398,0.890112,712.143675,477.256665,0.845365,560.187970,221.423068,0.875692,30.789459,0.264488,0.273733,332.710221,459.621284,0.101770,484.567296,577.307424,0.185313,298.890183,374.389193,0.451807,575.877550,691.576127,0.798953,56.154829,579.553612,0.066596,169.898677,110.229766,0.197519,380.386891,483.616697,0.470321,690.980860,173.010470,0.763140,626.531169,404.687600,0.456223,429.252802,308.743035,0.555194,300.192446,288.338191,0.695346,66.852873,119.910292,0.851198,555.175690,202.646684,0.377269,666.739085,589.015602,0.614346,159.472929,31.861419,0.431258
